
amābō tē                                          please
amō, amāre, amāvī, amātum                         to love, like
cōgitō, cōgitāre, cōgitāvī, cōgitātum             to think, ponder, consider, plan
cōnservō, cōnservāre, cōnservāvī, cōnservātum     to preserve, conserve, maintain
dēbeō, dēbēre, dēbuī, dēbitum                     to owe; ought, must, should
dō, dare, dedī, datum                             to give, offer
errō, errāre, errāvī, errātum                     to wander; err, go astray; make a mistake, be mistaken
laudō, laudāre, laudāvī, laudātum                 to praise
moneō, monēre, monuī, monitum                     to remind, advise, warn
mē                                                me, myself
nihil                                             nothing
nōn                                               not
quid                                              what
saepe                                             often
salveō, salvēre                                   to be well, be in good health
salvē, salvēte                                    hello, greetings
servō, servāre, servāvī, servātum                 to preserve, save, keep, guard
sī                                                if
terreō, terrēre, terruī, territum                 to frighten, terrify
valeō, valēre, valuī, valitūrum                   to be strong, have power; be well
valē, valēte                                      good-bye, farewell
videō, vidēre, vīdī, vīsum                        to see; observe, understand
vocō, vocāre, vocāvī, vocātum                     to call, summon
