
antīqua, antīquae                 ancient, old-time
est                               is
et                                and; even
et . . . et                       both . . . and
fortūna, fortūnae (f)             fortune, luck
fāma, fāmae (f)                   rumor, report; fame, reputation
fōrma, fōrmae (f)                 form, shape; beauty
magna, magnae                     large, great; important
mea, meae                         my
multa, multae                     much, many
nauta, nautae (m)                 sailor
patria, patriae (f)               fatherland, native land, (one's) country
pecūnia, pecūniae (f)             money
philosophia, philosophiae (f)     philosophy
poena, poenae (f)                 penalty, punishment
poenās dare                       to pay the penalty
porta, portae (f)                 gate, entrance
poēta, poētae (m)                 poet
puella, puellae (f)               girl
rosa, rosae (f)                   rose
sed                               but
sententia, sententiae (f)         feeling, thought, opinion, vote, sentence
sine (+abl.)                      without
tua, tuae                         your (sing.)
vīta, vītae (f)                   life; mode of life
īra, īrae (f)                     ire, anger
Ō                                 o!, oh!
