bāsium, bāsiī (n)                     kiss
bellum, bellī (n)                     war
dōnum, dōnī (n)                       gift, present
exitium, exitiī (n)                   destruction, ruin
mora, morae (f)                       delay
nihil                                 nothing
ōtium, ōtiī (n)                       leisure, peace
perīculum, perīculī (n)               danger, risk
bonus, bona, bonum                    good, kind
hūmānus, hūmāna, hūmānum              pertaining to man, human; humane, kind; refined, cultivated
stultus, stulta, stultum              foolish
stultus, stultī (m)                   a fool
adiuvō, adiuvāre, adiūvī, adiūtum     to help, aid, assist; to please
sum, esse, fuī, futūrum               to be, exist
cōnsilium, cōnsiliī (n)               plan, purpose, counsel, advice, judgment, wisdom
cūra, cūrae (f)                       care, attention, caution, anxiety
magister, magistrī (m)                schoolmaster, teacher, master
magistra, magistrae (f)               schoolmistress, teacher, mistress
oculus, oculī (m)                     eye
officium, officiī (n)                 duty, service
remedium, remediī (n)                 cure, remedy
bellus, bella, bellum                 pretty, handsome, charming
malus, mala, malum                    bad, wicked, evil
parvus, parva, parvum                 small, little
vērus, vēra, vērum                    true, real, proper
iuvō, iuvāre, iūvī, iūtum             to help, aid, assist; please
