amābō tē                                          please
amō, amāre, amāvī, amātum                         to love, like
cōgitō, cōgitāre, cōgitāvī, cōgitātum             to think, ponder, consider, plan
cōnservō, cōnservāre, cōnservāvī, cōnservātum     to preserve, conserve, maintain
dḗbeō, dēbḗre, dḗbuī, dḗbitum                     to owe; ought, must, should
dō, dare, dedī, datum                             to give, offer
errō, errāre, errāvī, errātum                     to wander; err, go astray; make a mistake, be mistaken
laudō, laudāre, laudāvī, laudātum                 to praise
mē                                                me, myself
moneō, monēre, monuī, monitum                     to remind, advise, warn
nihil                                             nothing
nōn                                               not
quid                                              what
saepe                                             often
salvē, salvēte                                    hello, greetings
salveō, salvēre                                   to be well, be in good health
servō, servāre, servāvī, servātum                 to preserve, save, keep, guard
sī                                                if
terreō, terrēre, terruī, territum                 to frighten, terrify
valē, valēte                                      good-bye, farewell
valeō, valēre, valuī, valitūrum                   to be strong, have power; be well
videō, vidēre, vīdī, vīsum                        to see; observe, understand
vocō, vocāre, vocāvī, vocātum                     to call, summon
